comuna_casen_id,comuna_name,comuna_datachile_id
1101,iquique,113
1107,alto hospicio,5
1401,pozo almonte,226
1402,camia,26
1404,huara,108
1405,pica,217
2101,antofagasta,9
2102,mejillones,170
2103,sierra gorda,309
2104,taltal,313
2201,calama,19
2203,san pedro de atacama,297
2301,tocopilla,321
2302,mara elena,165
3101,copiap,68
3102,caldera,21
3103,tierra amarilla,317
3201,chaaral,39
3202,diego de almagro,81
3301,vallenar,330
3302,alto del carmen,4
3303,freirina,93
3304,huasco,109
4101,la serena,126
4102,coquimbo,69
4103,andacollo,7
4104,la higuera,122
4105,paihuano,195
4106,vicua,334
4201,illapel,111
4202,canela,27
4203,los vilos,156
4204,salamanca,278
4301,ovalle,192
4302,combarbal,62
4303,monte patria,174
4304,punitaqui,237
4305,ro hurtado,271
5101,valparaso,331
5102,casablanca,31
5103,con cn,63
5105,puchuncav,229
5107,quintero,257
5109,via del mar,339
5301,los andes,151
5302,calle larga,24
5303,rinconada,268
5304,san esteban,283
5401,la ligua,123
5402,cabildo,16
5403,papudo,202
5404,petorca,215
5405,zapallar,344
5501,quillota,252
5502,calera,22
5503,hijuelas,103
5504,la cruz,118
5506,nogales,183
5601,san antonio,279
5602,algarrobo,1
5603,cartagena,30
5604,el quisco,86
5605,el tabo,87
5606,santo domingo,308
5701,san felipe,285
5702,catemu,33
5703,llay llay,142
5704,panquehue,201
5705,putaendo,242
5706,santa mara,306
5801,quilpu,253
5802,limache,138
5803,olmu,190
5804,villa alemana,337
6101,rancagua,259
6102,codegua,52
6103,coinco,56
6104,coltauco,61
6105,doihue,82
6106,graneros,101
6107,las cabras,133
6108,machal,159
6109,malloa,163
6110,san francisco de mostazal,175
6111,olivar,188
6112,peumo,216
6113,pichidegua,218
6114,quinta de tilcoco,255
6115,rengo,265
6116,requnoa,266
6117,san vicente,302
6201,pichilemu,219
6202,la estrella,119
6203,litueche,140
6204,marchige,164
6205,navidad,180
6206,paredones,203
6301,san fernando,286
6302,chpica,40
6303,chimbarongo,45
6304,lolol,146
6305,nancagua,178
6306,palmilla,199
